Page,Query,Clicks,Impressions,CTR,Position
https://urayasu-portal.com/posts/urayasu-bonodori-fireworks-2026/,浦安 盆踊り 2026,460,"3,994",11.5%,2.8
https://urayasu-portal.com/posts/urayasu-bonodori-fireworks-2026/,浦安盆踊り2026,162,"1,941",8.3%,2.8
https://urayasu-portal.com/posts/urayasu-bonodori-fireworks-2026/,浦安市 盆踊り 2026,144,"1,308",11.0%,2.8
https://urayasu-portal.com/posts/urayasu-bonodori-fireworks-2026/,浦安 お祭り 2026,85,425,20.0%,4.6
https://urayasu-portal.com/posts/urayasu-bonodori-fireworks-2026/,浦安市花火大会 2026,76,"3,686",2.1%,6.5
https://urayasu-portal.com/posts/urayasu-bonodori-fireworks-2026/,浦安 祭り 2026,76,362,21.0%,3.9
https://urayasu-portal.com/posts/urayasu-bonodori-fireworks-2026/,浦安市盆踊り2026,75,889,8.4%,2.7
https://urayasu-portal.com/posts/urayasu-bonodori-fireworks-2026/,浦安花火大会 2026,66,"5,375",1.2%,7.7
https://urayasu-portal.com/posts/urayasu-bonodori-fireworks-2026/,浦安 花火大会 2026,59,"2,974",2.0%,7.3
https://urayasu-portal.com/posts/urayasu-bonodori-fireworks-2026/,浦安 夏祭り 2026,56,536,10.4%,3.8
https://urayasu-portal.com/posts/nekogo-matsuri-urayasu-2026/,猫五祭,52,171,30.4%,3.3
https://urayasu-portal.com/posts/urayasu-neighborhood-summer-festivals-2026/,浦安 祭り 2026,47,321,14.6%,3.7
https://urayasu-portal.com/posts/urayasu-neighborhood-summer-festivals-2026/,浦安 夏祭り 2026,43,273,15.8%,3.5
https://urayasu-portal.com/posts/urayasu-bonodori-fireworks-2026/,浦安祭り2026,38,215,17.7%,3.5
https://urayasu-portal.com/posts/urayasu-bonodori-fireworks-2026/,浦安市 花火大会 2026,32,"1,178",2.7%,6.5
https://urayasu-portal.com/posts/all-japan-id-volleyball-urayasu-2026/,全日本idバレーボール選手権大会,28,137,20.4%,4.6
https://urayasu-portal.com/posts/urayasu-neighborhood-summer-festivals-2026/,浦安 お祭り 2026,27,181,14.9%,3.8
https://urayasu-portal.com/posts/urayasu-neighborhood-summer-festivals-2026/,浦安祭り2026,25,175,14.3%,4.1
https://urayasu-portal.com/posts/tadokoro-shoten-shinurayasu-planned/,田所商店 浦安,23,214,10.7%,5.8
https://urayasu-portal.com/posts/urayasu-neighborhood-summer-festivals-2026/,浦安 祭り,22,128,17.2%,3.0
https://urayasu-portal.com/posts/urayasu-neighborhood-summer-festivals-2026/,サンコーポ 浦安 夏 祭り 2026,22,127,17.3%,3.1
https://urayasu-portal.com/posts/myoden-3chome-bonodori-ennichi-2026/,妙典 盆踊り,22,46,47.8%,1.7
https://urayasu-portal.com/posts/daiso-maruesu-gyotoku-close/,マルエツ 行徳 店 閉店,21,296,7.1%,7.3
https://urayasu-portal.com/posts/urayasu-neighborhood-summer-festivals-2026/,浦安 夏祭り,19,179,10.6%,3.4
https://urayasu-portal.com/posts/urayasu-bonodori-fireworks-2026/,浦安お祭り 2026,19,119,16.0%,4.5
https://urayasu-portal.com/posts/wamen-zen-horie-open/,和麺 善,18,440,4.1%,8.3
https://urayasu-portal.com/posts/urayasu-bonodori-fireworks-2026/,浦安盆踊り 2026,18,161,11.2%,2.9
https://urayasu-portal.com/posts/urayasu-neighborhood-summer-festivals-2026/,浦安市 夏祭り,18,67,26.9%,3.3
https://urayasu-portal.com/posts/nekogo-matsuri-urayasu-2026/,猫五祭り,18,58,31.0%,3.2
https://urayasu-portal.com/posts/urayasu-bonodori-fireworks-2026/,浦安市 祭り 2026,17,128,13.3%,4.6
https://urayasu-portal.com/posts/urayasu-neighborhood-summer-festivals-2026/,浦安市 祭り 2026,17,75,22.7%,4.6
https://urayasu-portal.com/posts/urayasu-neighborhood-summer-festivals-2026/,浦安お祭り 2026,14,97,14.4%,3.6
https://urayasu-portal.com/categories/%E9%96%8B%E5%BA%97%E9%96%89%E5%BA%97/,浦安 閉店,14,41,34.1%,3.4
https://urayasu-portal.com/posts/daiso-maruesu-gyotoku-close/,行徳 マルエツ 閉店,13,262,5.0%,7.0
https://urayasu-portal.com/tags/%E7%8C%AB%E4%BA%94%E7%A5%AD/,猫五祭,13,135,9.6%,8.7
https://urayasu-portal.com/posts/daiso-maruesu-gyotoku-close/,行徳マルエツ閉店,12,141,8.5%,6.3
https://urayasu-portal.com/posts/daiso-maruesu-gyotoku-close/,ダイソー 行徳,11,271,4.1%,8.3
https://urayasu-portal.com/categories/%E9%96%8B%E5%BA%97%E9%96%89%E5%BA%97/,浦安 開店閉店,10,93,10.8%,4.9
https://urayasu-portal.com/posts/urayasu-bonodori-fireworks-2026/,浦安市 お祭り 2026,10,73,13.7%,4.1
https://urayasu-portal.com/posts/urayasu-neighborhood-summer-festivals-2026/,浦安 お祭り,10,64,15.6%,2.5
