Query,Country,Device,Clicks,Impressions,CTR,Position
浦安 盆踊り 2026,jpn,MOBILE,445,"3,812",11.7%,2.8
浦安盆踊り2026,jpn,MOBILE,165,"1,899",8.7%,2.8
浦安市 盆踊り 2026,jpn,MOBILE,137,"1,251",11.0%,2.8
浦安 祭り 2026,jpn,MOBILE,118,564,20.9%,3.0
浦安 お祭り 2026,jpn,MOBILE,108,489,22.1%,3.6
浦安 夏祭り 2026,jpn,MOBILE,94,593,15.9%,2.7
浦安市盆踊り2026,jpn,MOBILE,76,865,8.8%,2.7
浦安市花火大会 2026,jpn,MOBILE,73,"3,617",2.0%,6.5
浦安花火大会 2026,jpn,MOBILE,63,"5,366",1.2%,7.7
浦安祭り2026,jpn,MOBILE,61,311,19.6%,2.9
浦安 花火大会 2026,jpn,MOBILE,60,"2,980",2.0%,7.3
猫五祭,jpn,MOBILE,50,151,33.1%,3.2
浦安市 祭り 2026,jpn,MOBILE,33,162,20.4%,3.9
浦安市 花火大会 2026,jpn,MOBILE,31,"1,183",2.6%,6.5
浦安お祭り 2026,jpn,MOBILE,29,170,17.1%,3.3
サンコーポ 浦安 夏 祭り 2026,jpn,MOBILE,24,142,16.9%,3.5
全日本idバレーボール選手権大会,jpn,MOBILE,24,124,19.4%,4.5
マルエツ 行徳 店 閉店,jpn,MOBILE,22,279,7.9%,7.1
浦安 祭り,jpn,MOBILE,22,147,15.0%,3.1
浦安 開店閉店,jpn,MOBILE,22,103,21.4%,3.2
妙典 盆踊り,jpn,MOBILE,22,44,50.0%,1.6
田所商店 浦安,jpn,MOBILE,21,200,10.5%,5.9
浦安 盆踊り 2026,jpn,DESKTOP,19,146,13.0%,2.6
猫五祭り,jpn,MOBILE,19,64,29.7%,3.3
浦安市 お祭り 2026,jpn,MOBILE,18,91,19.8%,3.0
浦安 閉店,jpn,MOBILE,17,59,28.8%,3.5
浦安 夏祭り,jpn,MOBILE,16,185,8.6%,3.2
新浦安 お祭り 2026,jpn,MOBILE,16,92,17.4%,4.9
和麺 善,jpn,MOBILE,15,380,3.9%,8.4
浦安盆踊り 2026,jpn,MOBILE,15,158,9.5%,2.9
浦安市 夏祭り,jpn,MOBILE,15,68,22.1%,3.4
ダイソー 行徳,jpn,MOBILE,11,239,4.6%,8.4
行徳マルエツ閉店,jpn,MOBILE,11,141,7.8%,6.6
浦安市 夏祭り 2026,jpn,MOBILE,11,66,16.7%,2.8
行徳 マルエツ 閉店,jpn,MOBILE,10,228,4.4%,7.3
浦安 お祭り,jpn,MOBILE,10,72,13.9%,2.8
浦安市 キャッシュレス キャンペーン,jpn,MOBILE,10,23,43.5%,1.9
町の中華かすみ,jpn,MOBILE,9,43,20.9%,5.8
サンコーポ浦安 夏祭り 2026,jpn,MOBILE,9,21,42.9%,2.9
浦安 自治会祭り,jpn,MOBILE,9,15,60.0%,1.8
春日神社 市川 お祭り,jpn,MOBILE,9,14,64.3%,2.0
マルエツ 行徳 閉店,jpn,MOBILE,8,177,4.5%,7.4
浦安市祭り 2026,jpn,MOBILE,8,53,15.1%,3.5
猫実5丁目 祭り,jpn,MOBILE,8,34,23.5%,2.9
妙典 春日神社 お祭り,jpn,MOBILE,8,13,61.5%,2.0
鮨山口 行徳,jpn,MOBILE,7,95,7.4%,5.2
浦安 夏 祭り 2026,jpn,MOBILE,7,90,7.8%,2.7
鮨やまぐち 行徳,jpn,MOBILE,7,76,9.2%,6.0
妙典 祭り 2026,jpn,MOBILE,7,16,43.8%,3.3
行徳 ダイソー,jpn,MOBILE,6,355,1.7%,8.4
新浦安 麻辣湯,jpn,MOBILE,6,226,2.7%,10.0
浦安小学校盆踊り 2026,jpn,MOBILE,6,150,4.0%,6.1
マルエツ行徳店 閉店,jpn,MOBILE,6,134,4.5%,7.3
マルエツ行徳店閉店,jpn,MOBILE,6,96,6.3%,6.9
浦安 盆踊り,jpn,MOBILE,6,64,9.4%,11.8
夏祭り 浦安,jpn,MOBILE,6,40,15.0%,4.8
イクスピアリ ゴンチャ,jpn,MOBILE,5,980,0.5%,8.2
ニューコースト 麻辣湯,jpn,MOBILE,5,301,1.7%,9.0
ニューコースト新浦安 麻辣湯,jpn,MOBILE,5,258,1.9%,8.7
イクスピアリ ガチャガチャ,jpn,MOBILE,5,202,2.5%,10.7
