# ----------------------------------------
# ページとスクリーン: ページパスとスクリーン クラス
# アカウント: 浦安ぽーたる
# プロパティ: 浦安ぽーたる
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20260606
# 終了日: 20260903
ページパスとスクリーン クラス,表示回数,アクティブ ユーザー,アクティブ ユーザーあたりのビュー,アクティブ ユーザーあたりの平均エンゲージメント時間,イベント数,キーイベント,合計収益
/posts/urayasu-bonodori-fireworks-2026/,3435,2415,1.4223602484472049,20.225258799171844,10821,0,0
/posts/urayasu-neighborhood-summer-festivals-2026/,1757,1129,1.5562444641275466,25.024800708591673,5357,0,0
/,1705,557,3.061041292639138,29.166965888689408,4370,0,0
/posts/chiba-cashless-campaign-202608/,647,461,1.403470715835141,27.74837310195228,2084,0,0
/posts/nekogo-matsuri-urayasu-2026/,436,356,1.2247191011235956,10.952247191011235,1486,0,0
/travel-guide/,406,30,13.533333333333333,156.9,1049,0,0
/posts/daiso-maruesu-gyotoku-close/,395,314,1.2579617834394905,20.229299363057326,1317,0,0
/posts/myoden-3chome-bonodori-ennichi-2026/,369,252,1.4642857142857142,20.126984126984127,1129,0,0
/travel-guide/hotels/grand-monday-resort-maihama/,335,203,1.6502463054187193,57.532019704433495,1125,1,0
/life-guide/,326,44,7.409090909090909,64.3409090909091,690,0,0
/posts/ikspiari-club-cpla-open-20260717/,266,194,1.3711340206185567,14.860824742268042,864,0,0
/travel-guide/hotels/,257,19,13.526315789473685,268.4736842105263,752,0,0
/categories/開店閉店/,225,112,2.0089285714285716,36.99107142857143,614,0,0
/daily/,222,43,5.162790697674419,37.06976744186046,453,0,0
/posts/tadokoro-shoten-shinurayasu-planned/,194,145,1.3379310344827586,25.8,603,0,0
/posts/urayasu-hanabi-taikai-2026/,194,145,1.3379310344827586,35.08275862068965,505,0,0
/events/,189,141,1.3404255319148937,49.687943262411345,511,0,0
/posts/all-japan-id-volleyball-urayasu-2026/,179,96,1.8645833333333333,22.135416666666668,576,0,0
/open-close/,158,79,2,53.74683544303797,451,0,0
/posts/sushi-yamaguchi-gyotoku-opening-202608/,157,125,1.256,21.88,518,0,0
/travel-guide/hotels/hilton-tokyo-bay/,154,9,17.11111111111111,179.44444444444446,262,0,0
/posts/osouzai-bovi-horie-open/,140,103,1.3592233009708738,16.62135922330097,420,0,0
/posts/malatang-tenpo-newcoast-shinurayasu-open/,129,105,1.2285714285714286,9.6,426,0,0
/posts/wamen-zen-horie-open/,129,93,1.3870967741935485,22.161290322580644,399,0,0
