id,type,name,name_en,operator,status,hours,phone,lat,lng,address,area,sub_area,official_url,last_verified,note,open_early,open_late,is_24h,atm_intl,baby_goods,tax_free,takkyubin
hilton-lawson-24h,conbini,ローソン ヒルトン東京ベイ店,Lawson Hilton Tokyo Bay,ローソン,open,24時間営業,047-304-3620,35.6277954,139.8737186,千葉県浦安市舞浜1-8 ヒルトン東京ベイ,リゾート,舞浜,https://tokyobay.hiltonjapan.co.jp/facilities/shop,2026/6/29,旧「生活彩家」をリニューアル。浦安オフィシャルで唯一の館内24時間コンビニ / 統合元リストNo.20,1,1,1,check,,,1
hilton-lawson-s,conbini,ローソン Sヒルトン東京ベイ店,Lawson S Hilton Tokyo Bay,ローソン,open,17:00～23:00,047-381-8858,35.6274946,139.8734397,千葉県浦安市舞浜1-8,リゾート,舞浜,https://tokyobay.hiltonjapan.co.jp/facilities/shop,2026/6/29,同フロアの時間限定店。24時間店とは別店舗 / 統合元リストNo.21,,1,,check,,,1
seikatsu-saika-hilton,conbini,生活彩家 ヒルトン東京ベイ店,Seikatsu Saika Hilton Tokyo Bay,生活彩家,closed,-,,35.627180,139.873697,千葉県浦安市舞浜1-8 ヒルトン東京ベイ1F,リゾート,舞浜,,2026/6/29,閉店。hilton-lawson-24h にリニューアル（沿革記録用・現役表記には使わない）,,,,,,,
newdays-maihama,conbini,NewDays 舞浜,NewDays Maihama,NewDays,open,6:30～23:00,047-301-3827,35.6358901,139.8843133,千葉県浦安市舞浜26-5 舞浜駅2F 改札外 ホテルドリームゲート内,リゾート,舞浜,https://www.j-retail.jp/,2026/6/29,舞浜系ホテルの最寄外部コンビニ。dreamgateは館内直結 / 統合元リストNo.70,1,1,,,,,
seven-eleven-urayasu-maihama,conbini,セブンイレブン 浦安舞浜店,7-Eleven Urayasu Maihama,セブンイレブン,open,24時間営業,047-355-3755,35.6392451,139.8825051,千葉県浦安市舞浜2-46-1,リゾート,舞浜,https://www.sej.co.jp/shop/,2026/6/29,TDLホテル・フォーストーリーズの外部最寄24時間 / 統合元リストNo.43,1,1,1,1,,,1
mona-shin-urayasu,commercial,MONA新浦安,MONA Shin-Urayasu,,open,店舗による（要確認）,,35.6489350,139.9131256,千葉県浦安市入船1 新浦安駅前,ベイサイド,新浦安,,2026/6/29,新浦安駅前の商業施設。新浦安エリア各ホテルの買い物先,,,,,,,
atre-shin-urayasu,commercial,アトレ新浦安,atre Shin-Urayasu,JR東日本,open,店舗による（要確認）,,35.6497644,139.9127984,千葉県浦安市美浜1 新浦安駅直結,ベイサイド,新浦安,,2026/6/29,新浦安駅直結の商業施設,,,,,,,
royal-park-lawson,conbini,ローソン ザ ロイヤルパークホテル 舞浜リゾート 東京ベイ店,Lawson Royal Park Maihama,ローソン,open,24時間営業,047-390-5025,35.626700,139.897200,千葉県浦安市千鳥13-1,リゾート,千鳥,https://www.e-map.ne.jp/p/lawson/,2026/6/29,館内1F直結 / 統合元リストNo.22,1,1,1,check,,,1
hoshino-lawson,conbini,ローソン 星野リゾート1955東京ベイ店,Lawson (Hoshino Resorts 1955),ローソン,open,24時間営業,047-381-6600,35.637457,139.9316336,千葉県浦安市日の出7-2-3,ベイサイド,新町,https://www.e-map.ne.jp/p/lawson/,2026/6/29,館内コンビニ / 統合元リストNo.7（celebration-discoverの最寄でもある）,1,1,1,check,,,1
emion-familymart,conbini,ファミリーマート エミオン東京ベイ店,FamilyMart (Hotel Emion),ファミリーマート,open,7:00-24:00 ※11:00-15:00は休業,047-390-5006,35.6472652,139.9199183,千葉県浦安市日の出1丁目1-1,ベイサイド,新町,https://store.family.co.jp/,2026/6/29,館内コンビニ / 統合元リストNo.62,1,1,,check,,,1
daily-yamazaki-chidori,conbini,デイリーヤマザキ 浦安千鳥店,Daily Yamazaki Urayasu Chidori,デイリーヤマザキ,open,24時間営業,047-305-0204,35.6239351,139.8994632,千葉県浦安市千鳥12-7,リゾート,千鳥,https://www.daily-yamazaki.jp/,2026/6/29,舞浜ユーラシアの最寄外部（徒歩約10分） / 統合元リストNo.66,1,1,1,,,,1
seiyu-urayasu-ekimae,supermarket,西友浦安店,Seiyu (near BAYHOTEL Urayasu),西友,open,24時間（食品1-2F。6F専門店は時間変動）,0120-033-559,35.6657368,139.8944772,千葉県浦安市北栄1-14-1,リバーサイド,浦安駅,https://www.seiyu.co.jp/shop/%E8%A5%BF%E5%8F%8B%E6%B5%A6%E5%AE%89%E5%BA%97/,2026/6/29,BAYHOTEL浦安駅前の最寄スーパー（浦安駅東口 徒歩1分）。改装中（食品フロアは営業）。将来トライアルに転換予定（転換時に更新）,1,1,1,,1,,
poi-001,conbini,ローソンストア100 LS浦安富士見店,Lawson Store 100 Urayasu Fujimi,ローソン,open,24時間営業,047-390-6099,35.6528306,139.8921856,千葉県浦安市富士見1-2-18,リバーサイド,元町,https://www.e-map.ne.jp/p/lawson/,2026/6/29,,1,1,1,check,,,1
poi-002,conbini,ローソン オリエンタルホテル東京ベイ店,Lawson Oriental Hotel Tokyo Bay,ローソン,open,24時間営業,047-381-5200,35.6504436,139.9124567,千葉県浦安市美浜1-8-2,ベイサイド,新浦安,https://www.e-map.ne.jp/p/lawson/,2026/6/29,オリエンタルホテル東京ベイ 館内（浦安ブライトンホテルの最寄でもある）,1,1,1,check,,,1
poi-003,conbini,ローソン 浦安猫実四丁目店,Lawson Urayasu Nekomi 4-chome,ローソン,open,24時間営業,047-351-4467,35.6639125,139.896099,千葉県浦安市猫実4-6-39,リバーサイド,浦安駅,https://www.e-map.ne.jp/p/lawson/,2026/6/29,,1,1,1,1,,,1
poi-004,conbini,ローソン 浦安見明川店,Lawson Urayasu Miakegawa,ローソン,open,24時間営業,047-316-8661,35.6350791,139.8942967,千葉県浦安市弁天3-2-97,ベイサイド,新浦安,https://www.e-map.ne.jp/p/lawson/,2026/6/29,,1,1,1,1,,,1
poi-005,conbini,ローソン 浦安明海店,Lawson Urayasu Akemi,ローソン,open,24時間営業,047-316-1267,35.6416009,139.9204501,千葉県浦安市明海4-2-3,ベイサイド,新町,https://www.e-map.ne.jp/p/lawson/,2026/6/29,,1,1,1,1,,,1
poi-006,conbini,ナチュラルローソン プラナ東京ベイ店,Natural Lawson Prana Tokyo Bay,ローソン,open,24時間営業,047-306-6039,35.6358269,139.9247235,千葉県浦安市明海6-2,ベイサイド,新町,https://www.e-map.ne.jp/p/lawson/,2026/6/29,三井ガーデンホテルプラナ東京ベイ 館内（ナチュラルローソン）,1,1,1,check,,,1
poi-008,conbini,ローソン コンフォートスイーツ東京ベイ店,Lawson Comfort Suites Tokyo Bay,ローソン,open,24時間営業,047-316-2300,35.6382487,139.927507,千葉県浦安市明海5-8-15,ベイサイド,新町,https://www.e-map.ne.jp/p/lawson/,2026/6/29,コンフォートスイーツ東京ベイ 館内（celebration-wishの最寄でもある）,1,1,1,check,,,1
poi-009,conbini,ローソン 浦安猫実五丁目店,Lawson Urayasu Nekomi 5-chome,ローソン,open,24時間営業,047-354-9288,35.663673,139.891769,千葉県浦安市猫実5-1-38,リバーサイド,浦安駅,https://www.e-map.ne.jp/p/lawson/,2026/6/29,,1,1,1,1,,,1
poi-010,conbini,ローソン 舞浜店,Lawson Maihama,ローソン,open,24時間営業,047-381-0530,35.645016,139.887131,千葉県浦安市富士見3-23-5,リバーサイド,元町,https://www.e-map.ne.jp/p/lawson/,2026/6/29,,1,1,1,1,,,1
poi-011,conbini,ローソン 浦安駅南口店,Lawson Urayasu Station South Exit,ローソン,open,24時間営業,047-352-9988,35.665318,139.8946667,千葉県浦安市北栄1-15-28,リバーサイド,浦安駅,https://www.e-map.ne.jp/p/lawson/,2026/6/29,,1,1,1,1,,,1
poi-012,conbini,ローソン 浦安富士見店,Lawson Urayasu Fujimi,ローソン,open,24時間営業,047-381-5677,35.650253,139.890671,千葉県浦安市富士見1-14-34,リバーサイド,元町,https://www.e-map.ne.jp/p/lawson/,2026/6/29,,1,1,1,1,,,1
poi-013,conbini,ローソン 浦安入船店,Lawson Urayasu Irifune,ローソン,open,24時間営業,047-304-5781,35.6470266,139.9092525,千葉県浦安市入船2-3-2,ベイサイド,新浦安,https://www.e-map.ne.jp/p/lawson/,2026/6/29,,1,1,1,1,,,1
poi-014,conbini,ローソン 新浦安TKビルディング店,Lawson Shin-Urayasu TK Building,ローソン,open,24時間営業,047-355-5050,35.6487436,139.9122153,千葉県浦安市入船1-6-1,ベイサイド,新浦安,https://www.e-map.ne.jp/p/lawson/,2026/6/29,,1,1,1,1,,,1
poi-015,conbini,ローソン メトロス浦安店,Lawson Metros Urayasu,ローソン,open,07:00～22:00,03-3816-2604,35.6658387,139.8931459,千葉県浦安市北栄1-13-1 東西線浦安駅構内,リバーサイド,浦安駅,https://www.e-map.ne.jp/p/lawson/,2026/6/29,,1,1,,check,,,1
poi-016,conbini,ローソン 浦安北栄四丁目店,Lawson Urayasu Kitasakae 4-chome,ローソン,open,24時間営業,047-390-0399,35.6615938,139.9002859,千葉県浦安市北栄4-21-2,リバーサイド,浦安駅,https://www.e-map.ne.jp/p/lawson/,2026/6/29,,1,1,1,1,,,1
poi-017,conbini,ローソン 浦安南口店,Lawson Urayasu South Exit,ローソン,open,24時間営業,047-304-5199,35.664494,139.892426,千葉県浦安市猫実4-18-21,リバーサイド,浦安駅,https://www.e-map.ne.jp/p/lawson/,2026/6/29,,1,1,1,1,,,1
poi-018,conbini,ローソン 浦安富士見四丁目店,Lawson Urayasu Fujimi 4-chome,ローソン,open,24時間営業,047-316-3787,35.6474058,139.8891842,千葉県浦安市富士見4-10-30,リバーサイド,元町,https://www.e-map.ne.jp/p/lawson/,2026/6/29,,1,1,1,1,,,1
poi-019,conbini,ローソン シーサイド新浦安店,Lawson Seaside Shin-Urayasu,ローソン,open,24時間営業,047-352-6961,35.6408394,139.928894,千葉県浦安市日の出5-7-2,ベイサイド,新町,https://www.e-map.ne.jp/p/lawson/,2026/6/29,ラ・ジェント・ホテル東京ベイ 隣接（最寄）,1,1,1,1,,,1
poi-023,conbini,ナチュラルローソン 順天堂大学医学部附属浦安病院店,Natural Lawson Juntendo Urayasu Hospital,ローソン,open,07:30～22:00,047-390-5710,35.6459846,139.9066293,千葉県浦安市富岡2-1-1,ベイサイド,新浦安,https://www.e-map.ne.jp/p/lawson/,2026/6/29,,,1,,check,,,1
