"施設名","エリア記号","掲載区分","カテゴリ","住所","電話番号","公式サイトURL","パークへのアクセス(主)","もう一方のパークへのアクセス","パーク間移動・補足","屋根付き移動","予備1","予備2","予備3","空港リムジン停留所","最寄りJR駅","JR駅への徒歩アクセス","パークへの路線バス・モノレール","パークへの徒歩","浦安/新浦安駅方面バス","都心へのアクセス","羽田空港へ","成田空港へ","コンビニ・売店","スーパー","客室","大浴場","コインランドリー","駐車場","荷物預かり","朝食","チェックイン/アウト","Wi-Fi・多言語対応","概要・特徴","価格帯","キャッチコピー","最終更新日","英語表記","中国語表記","韓国語表記","英語公式URL","中国語公式URL","韓国語公式URL","slug","緯度","経度","機能フラグ","最低価格","特徴ラベル","表示名","館内店舗ID","最寄コンビニID","最寄ドラッグID","最寄スーパーID","楽天トラベルURL","じゃらんURL","BookingURL","AgodaURL"
"東京ディズニーランドホテル","A","通常掲載","ディズニーホテル","〒279-8505 千葉県浦安市舞浜29-1","047-305-3333","https://tokyodisneyresort.jp/hotel/tdh.html","TDL正面ゲートへ屋根付き通路で直結・徒歩約1分（ハッピーエントリー15分早入園）","TDSへはディズニーリゾートライン（有料モノレール）","パーク直結のため不要","TDLと屋根付き通路で直結・雨でも濡れず移動可能","","","","「東京ディズニーランドホテル」専用リムジンバス停留所あり（ホテル前・徒歩0分）","舞浜駅","公式に徒歩ルート案内なし（実質的に長め・要現地確認）","リゾートゲートウェイ・ステーションからディズニーリゾートライン","徒歩3km以上・30分超のため非推奨","舞浜駅経由で東京ベイシティ交通9系統等","JR京葉線で東京駅まで約15分","専用停留所から約40〜50分・大人1,300円（東京空港交通・京成バス千葉ウエスト共同運行）","専用停留所から約75〜80分・大人2,900円","館内「ルッキンググラス・ギフト」（グッズ中心・医薬品なし）。外部最寄はセブンイレブン浦安舞浜店（徒歩約6分・24時間）","徒歩圏に一般スーパーなし。イクスピアリ食品店（徒歩約8分）・NewDays舞浜（徒歩約6分）","全706室。ファミリールーム最大5名＋添い寝2名。コンシェルジュ・スイートあり","なし（客室にバスタブ）","あり（宿泊ゲスト専用）。有料ランドリーサービスも可","立体駐車場1・2階 1泊目3,000円・2泊目以降1,000円","あり（ベルデスクで預かり）","「シャーウッドガーデン・レストラン」でビュッフェ（6:30〜10:00）。コンシェルジュ宿泊者は専用ラウンジ朝食","IN15:00 / OUT12:00","客室内Wi-Fi無料・多言語対応スタッフあり","ヴィクトリア朝様式の高級ディズニーホテル。全706室。対象パーク15分前入園特典あり","2名1室 通常期55,000〜80,000円・繁忙期100,000円超も（スイート200,000円〜）","TDLゲートに最も近い唯一のホテル。雨でも濡れず入園できる最強立地","2026-06-17","Tokyo Disneyland Hotel","东京迪士尼乐园大饭店","도쿄디즈니랜드 호텔","https://www.tokyodisneyresort.jp/en/hotel/tdh.html","https://www.tokyodisneyresort.jp/sc/hotel/tdh.html","https://www.tokyodisneyresort.jp/kr/hotel/tdh.html","tdl-hotel","35.6368","139.8783","laundry;limousine","55000","TDL徒歩約1分","東京ディズニーランドホテル","","seven-eleven-urayasu-maihama","","","https://hb.afl.rakuten.co.jp/hgc/5555fa03.3f01cc2a.5555fa04.2c37c5e2/?pc=https%3A%2F%2Ftravel.rakuten.co.jp%2FHOTEL%2F74732%2F74732.html&link_type=hybrid_url&ut=eyJwYWdlIjoiaXRlbSIsInR5cGUiOiJoeWJyaWRfdXJsIiwic2l6ZSI6IjEwMHgxMDAiLCJuYW0iOjEsIm5hbXAiOiJyaWdodCIsImNvbSI6MSwiY29tcCI6ImRvd24iLCJwcmljZSI6MCwiYm9yIjoxLCJjb2wiOjEsImJidG4iOjEsInByb2QiOjAsImFtcCI6ZmFsc2V9","","",""
"東京ディズニーシー・ホテルミラコスタ","A","通常掲載","ディズニーホテル","〒279-8519 千葉県浦安市舞浜1-13","047-305-2222","https://tokyodisneyresort.jp/hotel/dhm.html","TDS内・専用入口「ホテル&パーク・ゲートウェイ」から直接（入園は開園1時間後〜・退場終日可）","TDLへはディズニーリゾートライン（有料モノレール）","パーク直結のため不要","TDS内直結のため傘不要でパークから直接移動可","","","","「東京ディズニーシー・ホテルミラコスタ」専用停留所あり（ホテル前・徒歩0分）。ベルデスクで予約・チケット販売可","舞浜駅","公式に徒歩ルート案内なし（リゾートライン利用前提）","リゾートゲートウェイ・ステーションからディズニーリゾートライン","徒歩3km以上・30分超のため非推奨","舞浜駅経由で東京ベイシティ交通9系統等","JR京葉線で東京駅まで約15分（＋モノレール）","専用停留所から約40〜50分・大人1,300円","専用停留所から約75分・大人2,900円","2Fに「ショップ・トゥギャザー」（軽食・日用品、0:00〜6:00は宿泊者のみ）。外部コンビニはNewDays舞浜まで徒歩13分以上","徒歩圏に一般スーパーなし。館内ショップで軽食・日用品補完","全502室。トスカーナ・ヴェネツィア・ポルトパラディーゾの3サイド","なし（有料スパ&プール「テルメ・ヴェネツィア」あり）","なし（館内コインランドリーなし）。有料ランドリーサービスあり","1泊目3,000円・2泊目以降1,000円","あり（ベルデスク預かり・ステーションデリバリー有料）","「オチェーアノ」で和洋ビュッフェ（6:30〜10:00・286席）","IN15:00 / OUT12:00","客室内Wi-Fi無料・多言語対応スタッフあり","イタリア地中海テーマのパーク一体型ホテル。全502室。スパ&プールあり","2名1室 通常期83,000円〜・繁忙期150,000円程度（スイート300,000円〜）","TDS「パーク内」に泊まれる唯一のホテル","2026-06-17","Tokyo DisneySea Hotel MiraCosta","东京迪士尼海洋观海景大饭店","도쿄디즈니씨 호텔 미라코스타","https://www.tokyodisneyresort.jp/en/hotel/dhm.html","https://www.tokyodisneyresort.jp/sc/hotel/dhm.html","https://www.tokyodisneyresort.jp/kr/hotel/dhm.html","miracosta","35.6269","139.8881","pool:有料;limousine","83000","TDS内・専用入口","東京ディズニーシー・ホテルミラコスタ","","newdays-maihama","","","https://hb.afl.rakuten.co.jp/hgc/5555fa03.3f01cc2a.5555fa04.2c37c5e2/?pc=https%3A%2F%2Ftravel.rakuten.co.jp%2FHOTEL%2F74733%2F74733.html&link_type=hybrid_url&ut=eyJwYWdlIjoiaXRlbSIsInR5cGUiOiJoeWJyaWRfdXJsIiwic2l6ZSI6IjEwMHgxMDAiLCJuYW0iOjEsIm5hbXAiOiJyaWdodCIsImNvbSI6MSwiY29tcCI6ImRvd24iLCJwcmljZSI6MCwiYm9yIjoxLCJjb2wiOjEsImJidG4iOjEsInByb2QiOjAsImFtcCI6ZmFsc2V9","","",""
"東京ディズニーシー・ファンタジースプリングスホテル","A","通常掲載","ディズニーホテル","〒279-8526 千葉県浦安市舞浜1-2","047-305-8888","https://tokyodisneyresort.jp/hotel/fsh.html","グランドシャトーは専用入口「グランシャトー・ゲートウェイ」からTDS新エリアへ直接（全室15分早入園）","TDLへはディズニーリゾートライン（有料モノレール）","グランド宿泊者は専用入口利用可","要確認","","","","ホテル前からリムジンバス（停留所あり）","舞浜駅","公式に徒歩ルート案内なし（リゾートライン利用前提）","リゾートゲートウェイ・ステーションからディズニーリゾートライン","要確認","要確認","JR京葉線で東京駅まで約15分","リムジンで羽田まで約40〜50分・大人1,300円","リムジンで成田まで約82〜87分・大人2,900円","3F「ジョイフルスプリングス」（ドリンク・菓子・日用品・紙おむつ、宿泊者限定）。外部コンビニはNewDays舞浜まで徒歩約13分","徒歩圏に一般スーパーなし","全475室（グランド56／ファンタジー419）","なし","ファンタジーシャトー1Fに24時間利用可（ルームキー入室・スマホ決済）","1泊目3,000円・2泊目以降1,000円","要確認","ファンタジーシャトー宿泊者は「ファンタジースプリングス・レストラン」ビュッフェ（6:30〜10:00・事前予約制）。グランドはフレンチブランチ","IN15:00 / OUT12:00","客室内Wi-Fi無料（要公式確認）","2024年6月開業のTDS最新ホテル。グランドシャトー（ラグジュアリー）とファンタジーシャトー（デラックス）の2棟","ファンタジーシャトー 2名 約50,000〜100,000円。グランドは数十万円〜","TDS新エリアに最も近い最新・最高峰のディズニーホテル","2026-06-17","Tokyo DisneySea Fantasy Springs Hotel","","도쿄디즈니씨 판타지 스프링스 호텔","https://www.tokyodisneyresort.jp/en/hotel/fsh.html","https://www.tokyodisneyresort.jp/sc/hotel/fsh.html","https://www.tokyodisneyresort.jp/kr/hotel/fsh.html","fantasy-springs-hotel","35.6289","139.8764","laundry;limousine","50000","TDS新エリア直結（2024年開業）","ファンタジースプリングスホテル","","newdays-maihama","","","https://hb.afl.rakuten.co.jp/hgc/5555fa03.3f01cc2a.5555fa04.2c37c5e2/?pc=https%3A%2F%2Ftravel.rakuten.co.jp%2FHOTEL%2F189000%2F189000.html&link_type=hybrid_url&ut=eyJwYWdlIjoiaXRlbSIsInR5cGUiOiJoeWJyaWRfdXJsIiwic2l6ZSI6IjEwMHgxMDAiLCJuYW0iOjEsIm5hbXAiOiJyaWdodCIsImNvbSI6MSwiY29tcCI6ImRvd24iLCJwcmljZSI6MCwiYm9yIjoxLCJjb2wiOjEsImJidG4iOjEsInByb2QiOjAsImFtcCI6ZmFsc2V9","","",""
"ディズニーアンバサダーホテル","A","通常掲載","ディズニーホテル","〒279-8522 千葉県浦安市舞浜2-11","047-305-1111","https://tokyodisneyresort.jp/hotel/dah.html","専用無料シャトル「ディズニーリゾートクルーザー」で移動（ハッピーエントリー15分前入園）","TDL/TDSとも専用無料シャトル","ホテルと両パークを結ぶ専用無料シャトル","イクスピアリ経由で一部屋根付き移動可","","","","「ディズニーアンバサダーホテル」専用リムジンバス停留所あり（ホテル前・徒歩0分）","舞浜駅","徒歩約8分（公式案内）","リゾートクルーザー＋リゾートライン","徒歩約8分で十分近い","舞浜駅経由で東京ベイシティ交通9系統等","JR京葉線で東京駅まで約15分","リムジンで羽田まで約40〜50分・大人1,300円","リムジンで成田まで約62〜67分・大人2,900円","館内「サンドリーショップ」（日用品・菓子・ソフトドリンク）。外部最寄はNewDays舞浜（徒歩約5分・6:30〜23:00）","徒歩圏に一般スーパーなし（イクスピアリ徒歩5〜8分）","1930年代ハリウッドテーマの全503室。ファミリールーム97㎡は大人5〜6名＋添い寝4名","なし","要確認","1泊目3,000円・2泊目以降1,000円","あり（駅ウェルカムセンター→ホテルのバゲッジデリバリー無料、ホテル→駅は有料）","キャラクターダイニング「シェフ・ミッキー」ビュッフェ（6:30〜10:00・宿泊者優先席）","IN15:00 / OUT12:00","客室内Wi-Fi無料","日本初のディズニーホテル（2000年開業）。イクスピアリ隣接。シェフ・ミッキーが名物","2名1室 通常期40,000〜70,000円・繁忙期80,000円以上も","シェフ・ミッキーとイクスピアリ徒歩圏。日本初のディズニーホテル","2026-06-17","Disney Ambassador Hotel","迪士尼大使大饭店","디즈니 앰버서더 호텔","https://www.tokyodisneyresort.jp/en/hotel/dah.html","https://www.tokyodisneyresort.jp/sc/hotel/dah.html","https://www.tokyodisneyresort.jp/kr/hotel/dah.html","ambassador-hotel","35.6334","139.8878","shuttle;limousine","40000","舞浜駅徒歩約8分","ディズニーアンバサダーホテル","","newdays-maihama","","","https://hb.afl.rakuten.co.jp/hgc/5555fa03.3f01cc2a.5555fa04.2c37c5e2/?pc=https%3A%2F%2Ftravel.rakuten.co.jp%2FHOTEL%2F72737%2F72737.html&link_type=hybrid_url&ut=eyJwYWdlIjoiaXRlbSIsInR5cGUiOiJoeWJyaWRfdXJsIiwic2l6ZSI6IjEwMHgxMDAiLCJuYW0iOjEsIm5hbXAiOiJyaWdodCIsImNvbSI6MSwiY29tcCI6ImRvd24iLCJwcmljZSI6MCwiYm9yIjoxLCJjb2wiOjEsImJidG4iOjEsInByb2QiOjAsImFtcCI6ZmFsc2V9","","",""
"トイ・ストーリーホテル","A","通常掲載","ディズニーホテル","〒279-8506 千葉県浦安市舞浜1-47","047-305-5555","https://tokyodisneyresort.jp/hotel/tsh.html","ベイサイド・ステーション＋ディズニーリゾートライン（全室15分早入園）。10時以降はファンタジースプリングス・エントリー徒歩圏","TDL/TDSともリゾートライン","ベイサイド・ステーション直近","要確認","","","","ホテル前からリムジンバス","舞浜駅","公式に徒歩ルート案内なし（リゾートライン利用前提）","ベイサイド・ステーションからディズニーリゾートライン","要確認","要確認","JR京葉線で東京駅まで約15分","リムジンで羽田まで約40〜50分・大人1,300円","リムジンで成田あり・大人2,900円","ロビー2F「ショップ・トゥギャザー」（6:00〜24:00・おにぎり/弁当/日用品）。深夜はヒルトン東京ベイ内ローソン（24時間・徒歩圏）","要確認","全595室。アンディの部屋モチーフ。スタンダード28㎡・4名まで","なし","3Fに宿泊者専用あり","1泊目3,000円・2泊目以降1,000円","要確認","「ロッツォ・ガーデンカフェ」ビュッフェ（宿泊者限定・要事前予約）","IN15:00 / OUT12:00","客室内Wi-Fi無料・館内案内多言語対応","2022年開業のトイ・ストーリーテーマ。ミドルプライスのディズニーホテル","2名1室 通常期45,000〜65,000円","TDS新エリアへの地の利とミドルプライスを両立","2026-06-17","Tokyo Disney Resort Toy Story Hotel","东京迪士尼度假区玩具总动员饭店","도쿄디즈니리조트 토이 스토리 호텔","https://www.tokyodisneyresort.jp/en/hotel/tsh.html","https://www.tokyodisneyresort.jp/sc/hotel/tsh.html","https://www.tokyodisneyresort.jp/kr/hotel/tsh.html","toy-story-hotel","35.6259","139.8746","laundry;shuttle;limousine","45000","ベイサイド・ステーション徒歩約3分","トイ・ストーリーホテル","","hilton-lawson-24h","","","https://hb.afl.rakuten.co.jp/hgc/5555fa03.3f01cc2a.5555fa04.2c37c5e2/?pc=https%3A%2F%2Ftravel.rakuten.co.jp%2FHOTEL%2F183493%2F183493.html&link_type=hybrid_url&ut=eyJwYWdlIjoiaXRlbSIsInR5cGUiOiJoeWJyaWRfdXJsIiwic2l6ZSI6IjEwMHgxMDAiLCJuYW0iOjEsIm5hbXAiOiJyaWdodCIsImNvbSI6MSwiY29tcCI6ImRvd24iLCJwcmljZSI6MCwiYm9yIjoxLCJjb2wiOjEsImJidG4iOjEsInByb2QiOjAsImFtcCI6ZmFsc2V9","","",""
"東京ディズニーセレブレーションホテル：ウィッシュ","C","通常掲載","ディズニーホテル","千葉県浦安市明海7丁目1-1","0570-05-1118（ディズニー・ホテル予約案内）","https://tokyodisneyresort.jp/hotel/dch.html","無料シャトルバスで約20分（全室15分早入園）","TDL/TDSとも無料シャトル","パークから離れた立地・無料シャトル約20分","なし","","","","近隣停留所から羽田リムジン（成田は直通なし）","新浦安駅","新浦安駅南口Dのりばから11系統バスで約15分・150円「ベイサイドホテルエリア」下車徒歩約2分","新浦安駅から11系統バス約15分","要確認","新浦安駅から11系統バス約15分","新浦安駅からJR京葉線で東京駅まで約20分","近隣停留所から羽田まで約60分・大人1,300円","直通なし","ホテル隣接に「ローソン」（徒歩5分以内・深夜可）。館内「スナック&サンドリー」各棟1F","バスで新浦安駅方面（約15分）のMONA新浦安","「夢・ファンタジー（TDLイメージ）」テーマ。ベッド4台標準で4名対応","なし","5Fに宿泊者向けあり","1泊2,000円（普通車・現金のみ）","あり（ゲストサービスカウンター・ディズニーホテル間デリバリー）","朝食付プランは各棟1Fラウンジで簡易弁当＋小型ペットボトル","IN15:00〜24:00 / OUT11:00","客室内Wi-Fi無料","TDR運営バリュータイプ。ディズニーホテル最安値クラス。1室4名対応","3名1室 通常期20,000〜30,000円・繁忙期44,000円以上も","ディズニーホテル最安値クラス・1室4名対応（夢/TDLテーマ）","2026-06-17","Tokyo Disney Celebration Hotel: Wish","","도쿄디즈니 셀러브레이션 호텔","https://www.tokyodisneyresort.jp/en/hotel/dch.html","https://www.tokyodisneyresort.jp/sc/hotel/dch.html","https://www.tokyodisneyresort.jp/kr/hotel/dch.html","celebration-wish","35.6388","139.9305","laundry;shuttle;limousine","20000","ハッピーエントリー特典付き","東京ディズニーセレブレーションホテル（ウィッシュ）","","poi-008","","mona-shin-urayasu","https://hb.afl.rakuten.co.jp/hgc/5555fa03.3f01cc2a.5555fa04.2c37c5e2/?pc=https%3A%2F%2Ftravel.rakuten.co.jp%2FHOTEL%2F151431%2F151431.html&link_type=hybrid_url&ut=eyJwYWdlIjoiaXRlbSIsInR5cGUiOiJoeWJyaWRfdXJsIiwic2l6ZSI6IjEwMHgxMDAiLCJuYW0iOjEsIm5hbXAiOiJyaWdodCIsImNvbSI6MSwiY29tcCI6ImRvd24iLCJwcmljZSI6MCwiYm9yIjoxLCJjb2wiOjEsImJidG4iOjEsInByb2QiOjAsImFtcCI6ZmFsc2V9","","",""
"東京ディズニーセレブレーションホテル：ディスカバー","C","通常掲載","ディズニーホテル","千葉県浦安市日の出7-1-1","047-381-1188","https://tokyodisneyresort.jp/hotel/dch.html","無料シャトルバスで約20分（全室15分早入園）","TDL/TDSとも無料シャトル","パークから離れた立地・無料シャトル約20分","なし","","","","近隣停留所から羽田リムジン（成田は直通なし）","新浦安駅","新浦安駅南口Dのりばから11系統バスで約15分・150円「ベイサイドホテルエリア」下車徒歩約2分","新浦安駅から11系統バス約15分","要確認","新浦安駅から11系統バス約15分","新浦安駅からJR京葉線で東京駅まで約20分","近隣停留所から羽田まで約60分・大人1,300円","直通なし","ホテル隣接に「ローソン」（徒歩5分以内）。館内「スナック&サンドリー」各棟1F","バスで新浦安駅方面（約15分）のMONA新浦安","「冒険・発見（TDSイメージ）」テーマ。ベッド4台標準で4名対応","なし","5Fに宿泊者向けあり","1泊2,000円（普通車・現金のみ）","あり（ゲストサービスカウンター・ディズニーホテル間デリバリー）","朝食付プランは各棟1Fラウンジで簡易弁当＋小型ペットボトル","IN15:00〜24:00 / OUT11:00","客室内Wi-Fi無料","ウィッシュの姉妹棟。施設・価格はほぼ共通で客室テーマのみ異なる","3名1室 通常期20,000〜30,000円・繁忙期44,000円以上も","ディズニーホテル最安値クラス・1室4名対応（冒険/TDSテーマ）","2026-06-17","Tokyo Disney Celebration Hotel: Discover","","도쿄디즈니 셀러브레이션 호텔","https://www.tokyodisneyresort.jp/en/hotel/dch.html","https://www.tokyodisneyresort.jp/sc/hotel/dch.html","https://www.tokyodisneyresort.jp/kr/hotel/dch.html","celebration-discover","35.6384","139.9308","laundry;shuttle;limousine","20000","ハッピーエントリー特典付き","東京ディズニーセレブレーションホテル（ディスカバー）","","hoshino-lawson","","mona-shin-urayasu","https://hb.afl.rakuten.co.jp/hgc/5555fa03.3f01cc2a.5555fa04.2c37c5e2/?pc=https%3A%2F%2Ftravel.rakuten.co.jp%2FHOTEL%2F151431%2F151431.html&link_type=hybrid_url&ut=eyJwYWdlIjoiaXRlbSIsInR5cGUiOiJoeWJyaWRfdXJsIiwic2l6ZSI6IjEwMHgxMDAiLCJuYW0iOjEsIm5hbXAiOiJyaWdodCIsImNvbSI6MSwiY29tcCI6ImRvd24iLCJwcmljZSI6MCwiYm9yIjoxLCJjb2wiOjEsImJidG4iOjEsInByb2QiOjAsImFtcCI6ZmFsc2V9","","",""
"ホテルオークラ東京ベイ","A","通常掲載","オフィシャルホテル","千葉県浦安市舞浜1-8","047-355-3333","https://okuratokyobay.net","無料シャトル＋リゾートライン（ベイサイドステーションまで徒歩約3分。ハッピーエントリー15分前入園）","TDL/TDSともリゾートライン","ベイサイドステーション向かいの立地","要確認","","","","ホテル前からリムジンバス","舞浜駅","リゾートライン経由／車で約5分","ベイサイドステーションからリゾートライン","要確認","要確認","JR京葉線で東京駅まで約15〜17分","リムジンで羽田まで約40〜50分・大人1,300円","リムジンで成田あり・大人2,900円","館内コンビニなし（ドラッグストアのみ）。最寄24時間コンビニはヒルトン東京ベイ1Fのローソン（24時間営業・徒歩圏）","要確認","全427室・全室44㎡以上。総大理石バスルーム","なし","なし（有料ランドリーサービスあり）","230台。1泊目3,000円・2泊目以降1,000円","あり（駅ウェルカムセンター8時以降預かり・ベルデスク対応）","朝食ビュッフェ6時開始（シェフ実演フレンチトースト人気）","IN15:00 / OUT12:00","全室Wi-Fi無料","記念日に人気の「アニバーサリーホテル」。全室44㎡以上・朝食6時開始","2名1室 通常期30,000〜60,000円・繁忙期80,000円以上も","全室44㎡以上・朝食6時開始のアニバーサリーホテル","2026-06-17","Hotel Okura Tokyo Bay","","","https://www.okuratokyobay.net/en/","","","hotel-okura-tokyo-bay","35.6259","139.8760","shuttle;limousine","30000","専用シャトル運行","ホテルオークラ東京ベイ","","hilton-lawson-24h","","","https://hb.afl.rakuten.co.jp/hgc/5555fa03.3f01cc2a.5555fa04.2c37c5e2/?pc=https%3A%2F%2Ftravel.rakuten.co.jp%2FHOTEL%2F1304%2F1304.html&link_type=hybrid_url&ut=eyJwYWdlIjoiaXRlbSIsInR5cGUiOiJoeWJyaWRfdXJsIiwic2l6ZSI6IjEwMHgxMDAiLCJuYW0iOjEsIm5hbXAiOiJyaWdodCIsImNvbSI6MSwiY29tcCI6ImRvd24iLCJwcmljZSI6MSwiYm9yIjoxLCJjb2wiOjEsImJidG4iOjEsInByb2QiOjAsImFtcCI6ZmFsc2V9","","",""
"グランドニッコー東京ベイ舞浜","A","通常掲載","オフィシャルホテル","千葉県浦安市舞浜1-7","047-350-3533","https://tokyobay.grandnikko.com","無料シャトル（約2〜3分）＋リゾートライン（ハッピーエントリー15分前入園）","TDL/TDSともリゾートライン","ベイサイドステーションからリゾートライン","要確認","","","","ホテル前専用リムジンバス停留所あり","舞浜駅","舞浜駅へ車で約5分（公式案内）","ベイサイドステーションからリゾートライン","要確認","要確認","JR京葉線で東京駅まで約16〜17分","ホテル前から羽田まで約45〜50分・大人1,300円","リムジンで成田あり・大人2,900円","館内3F「ファーストショップ ギフト&コンビニエンス」（菓子・飲料・酒類・雑貨、営業時間要確認）。外部はNewDays舞浜（徒歩約15分）","要確認","南欧テーマの多彩な客室。高さ37m国内最大級アトリウム","なし","あり（有料）","319台（EV充電器）。1泊目3,100円・2泊目4,300円・3泊以上5,500円","あり（ベルデスク・ウェルカムセンターからのデリバリー）","ビュッフェ（実演キッチン・和洋100種類以上）","IN15:00 / OUT12:00","客室内Wi-Fi無料","国内最大級アトリウムを持つ南欧テーマの大型オフィシャルホテル","2名1室 通常期30,000〜60,000円・繁忙期80,000円以上も","国内最大級アトリウムと319台駐車場の大型オフィシャル","2026-06-17","Grand Nikko Tokyo Bay Maihama","","","https://tokyobay.grandnikko.com/en/","","","grand-nikko-tokyo-bay","35.6293","139.8740","laundry;shuttle;limousine","30000","専用シャトル運行","グランドニッコー東京ベイ舞浜","","newdays-maihama","","","https://hb.afl.rakuten.co.jp/hgc/5555fa03.3f01cc2a.5555fa04.2c37c5e2/?pc=https%3A%2F%2Ftravel.rakuten.co.jp%2FHOTEL%2F179245%2F179245.html&link_type=hybrid_url&ut=eyJwYWdlIjoiaXRlbSIsInR5cGUiOiJoeWJyaWRfdXJsIiwic2l6ZSI6IjEwMHgxMDAiLCJuYW0iOjEsIm5hbXAiOiJyaWdodCIsImNvbSI6MSwiY29tcCI6ImRvd24iLCJwcmljZSI6MCwiYm9yIjoxLCJjb2wiOjEsImJidG4iOjEsInByb2QiOjAsImFtcCI6ZmFsc2V9","","",""
"シェラトン・グランデ・トーキョーベイ","A","通常掲載","オフィシャルホテル","千葉県浦安市舞浜1-9","047-355-5555","https://marriott.com","ベイサイドステーション徒歩1分＋リゾートライン（ハッピーエントリーはTDLが対象）","TDL/TDSともリゾートライン","ベイサイドステーション徒歩1分","要確認","","","","ホテル前からリムジンバス","舞浜駅","舞浜駅へモノレール乗換（公式案内）","ベイサイドステーションからリゾートライン","要確認","要確認","JR京葉線で東京駅まで約15〜17分","リムジンで羽田まで約40〜50分・大人1,300円","リムジンで成田あり・大人2,900円","別館オアシス内「ザ・ショップ＠シェラトン」（医薬品取扱あり）。確実な24時間はヒルトン東京ベイ1Fのローソン（24時間営業・徒歩約6分）","要確認","全室36㎡以上・バルコニー付き","あり（大浴場「舞湯」・大理石・サウナ付き）","あり（有料）","1泊目3,100円・2泊目以降1,600円加算","要確認","和洋中ブッフェ","IN15:00 / OUT12:00","客室内Wi-Fi無料","大浴場「舞湯」・室内温水プール・遊戯施設OASIS・チャペル2棟","2名1室 通常期30,000〜60,000円・繁忙期80,000円以上も","大浴場「舞湯」とOASISでホテル内でも1日遊べる","2026-06-17","Sheraton Grande Tokyo Bay Hotel","","","https://www.marriott.com/en-us/hotels/tyosi-sheraton-grande-tokyo-bay-hotel/overview/","","","sheraton-grande-tokyo-bay","35.6257","139.8782","bath:サウナ;pool:温水;laundry;shuttle;limousine","30000","大浴場「舞湯」・大型プール","シェラトン・グランデ・トーキョーベイ","","hilton-lawson-24h","","","https://hb.afl.rakuten.co.jp/hgc/5555fa03.3f01cc2a.5555fa04.2c37c5e2/?pc=https%3A%2F%2Ftravel.rakuten.co.jp%2FHOTEL%2F27896%2F27896.html&link_type=hybrid_url&ut=eyJwYWdlIjoiaXRlbSIsInR5cGUiOiJoeWJyaWRfdXJsIiwic2l6ZSI6IjEwMHgxMDAiLCJuYW0iOjEsIm5hbXAiOiJyaWdodCIsImNvbSI6MSwiY29tcCI6ImRvd24iLCJwcmljZSI6MCwiYm9yIjoxLCJjb2wiOjEsImJidG4iOjEsInByb2QiOjAsImFtcCI6ZmFsc2V9","","",""
